Country Name,Country Code,Indicator Name,Indicator Code,Year,New IDP Displacements
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2011,350000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2012,190000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2013,383000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2014,1304000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2015,199000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2016,281000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2017,857000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2018,321000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2019,259000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2020,271000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2021,429000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2022,337000.0
South Sudan,SSD,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2023,282000.0
