Admin1,Admin1_Code,Admin2,Admin2_Code,Incident
Abyei Administrative Area,SS00,Abyei Administrative Area,SS0001,29
Central Equatoria,SS01,Juba,SS0101,43
Central Equatoria,SS01,Kajo-keji,SS0102,0
Central Equatoria,SS01,Lainya,SS0103,3
Central Equatoria,SS01,Morobo,SS0104,1
Central Equatoria,SS01,Yei,SS0106,5
Eastern Equatoria,SS02,Budi,SS0201,3
Eastern Equatoria,SS02,Ikotos,SS0202,2
Eastern Equatoria,SS02,Kapoeta East,SS0203,5
Eastern Equatoria,SS02,Kapoeta North,SS0204,2
Eastern Equatoria,SS02,Kapoeta South,SS0205,6
Eastern Equatoria,SS02,Lafon,SS0206,1
Eastern Equatoria,SS02,Magwi,SS0207,3
Eastern Equatoria,SS02,Torit,SS0208,8
Jonglei,SS03,Akobo,SS0301,5
Jonglei,SS03,Ayod,SS0302,4
Jonglei,SS03,Bor South,SS0303,20
Jonglei,SS03,Canal/Pigi,SS0304,1
Jonglei,SS03,Duk,SS0305,2
Jonglei,SS03,Fangak,SS0306,1
Jonglei,SS03,Nyirol,SS0307,1
Jonglei,SS03,Pibor,SS0308,14
Jonglei,SS03,Pochalla,SS0309,2
Jonglei,SS03,Twic East,SS0310,3
Jonglei,SS03,Uror,SS0311,3
Lakes,SS04,Cueibet,SS0402,0
Lakes,SS04,Awerial,SS0401,1
Lakes,SS04,Rumbek Centre,SS0403,10
Lakes,SS04,Rumbek East,SS0404,0
Lakes,SS04,Rumbek North,SS0405,1
Lakes,SS04,Wulu,SS0406,1
Lakes,SS04,Yirol East,SS0407,2
Northern Bahr el Ghazal,SS05,Aweil Centre,SS0501,7
Northern Bahr el Ghazal,SS05,Aweil East,SS0502,4
Northern Bahr el Ghazal,SS05,Aweil North,SS0503,1
Northern Bahr el Ghazal,SS05,Aweil West,SS0505,8
Northern Bahr el Ghazal,SS05,Aweil South,SS0504,1
Unity,SS06,Abiemnhom,SS0601,5
Unity,SS06,Guit,SS0602,6
Unity,SS06,Koch,SS0603,2
Unity,SS06,Tonj East,SS0803,3
Unity,SS06,Leer,SS0604,4
Unity,SS06,Tonj North,SS0804,3
Unity,SS06,Tonj South,SS0805,1
Unity,SS06,Mayendit,SS0605,1
Unity,SS06,Gogrial East,SS0801,1
Unity,SS06,Mayom,SS0606,5
Unity,SS06,Panyijiar,SS0607,3
Unity,SS06,Pariang,SS0608,7
Unity,SS06,Rubkona,SS0609,30
Upper Nile,SS07,Baliet,SS0701,3
Upper Nile,SS07,Fashoda,SS0702,5
Upper Nile,SS07,Longochuk,SS0703,1
Upper Nile,SS07,Luakpiny/Nasir,SS0704,7
Upper Nile,SS07,Maban,SS0705,32
Upper Nile,SS07,Maiwut,SS0706,5
Upper Nile,SS07,Manyo,SS0708,1
Upper Nile,SS07,Malakal,SS0707,49
Upper Nile,SS07,Melut,SS0709,3
Upper Nile,SS07,Panyikang,SS0710,3
Upper Nile,SS07,Renk,SS0711,15
Upper Nile,SS07,Ulang,SS0712,12
Warrap,SS08,Gogrial West,SS0802,5
Warrap,SS08,Twic,SS0806,7
Western Bahr el Ghazal,SS09,Jur River,SS0901,1
Western Bahr el Ghazal,SS09,Wau,SS0903,12
Western Equatoria,SS10,Ezo,SS1001,0
Western Equatoria,SS10,Ibba,SS1002,0
Western Equatoria,SS10,Maridi,SS1003,0
Western Equatoria,SS10,Mundri East,SS1004,1
Western Equatoria,SS10,Mundri West,SS1005,0
Western Equatoria,SS10,Mvolo,SS1006,0
Western Equatoria,SS10,Nagero,SS1007,3
Western Equatoria,SS10,Tambura,SS1009,6
Western Equatoria,SS10,Yambio,SS1010,8
