Country Name,Country Code,Indicator Name,Indicator Code,Year,Battle-related deaths
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2011,220.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2012,266.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2013,926.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2014,1674.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2015,493.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2016,735.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2017,484.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2018,526.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2019,110.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2020,58.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2021,188.0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,2024,2.0
